product_name,product_url,product_price
ACER NITRO 5 AN515-45 15.6 INCH FULL HD 144HZ DISPLAY RYZEN 7 5800H 16GB RAM 1 TB HDD 256 GB SSD GAMING LAPTOP WITH RTX 3050 TI 4GB GRAPHICS,https://www.techlandbd.com/acer-nitro-5-an515-45-r3fb-gaming-laptop,"152,000৳"
ACER EXTENSA 15 EX215-54-596B 15.6 INCH FULL HD DISPLAY CORE I5 11TH GEN 8GB RAM 1TB HDD LAPTOP,https://www.techlandbd.com/acer-extensa-15-ex215-54-596b-laptop,"58,500৳"
ACER EXTENSA 15 EX215-54-57SB 15.6 INCH FULL HD DISPLAY CORE I5 11TH GEN 8GB RAM 1TB HDD LAPTOP,https://www.techlandbd.com/acer-extensa-15-ex215-54-57sb-laptop,"58,500৳"
ACER EXTENSA 15 EX215-54-37AH 15.6 INCH FULL HD DISPLAY CORE I3 11TH GEN 4GB RAM 1TB HDD LAPTOP,https://www.techlandbd.com/acer-extensa-15-ex215-54-37ah-laptop,"47,000৳"
ACER EXTENSA 15 EX215-54-37AH 15.6 INCH FHD DISPLAY INTEL I3 11TH GEN 8GB RAM 256GB SSD 1TB HDD LAPTOP,https://www.techlandbd.com/acer-extensa-15-ex215-54-37ah-11th-gen-laptop,"48,890৳"
ACER EXTENSA 15 EX215-54-34SE 15.6 INCH FULL HD DISPLAY CORE I3 11TH GEN 4GB RAM 1TB HDD LAPTOP,https://www.techlandbd.com/acer-extensa-15-ex215-54-34se-laptop,"53,500৳"
ACER EXTENSA 15 EX215-52-56FJ 15.6 INCH FHD DISPLAY INTEL I5 10TH GEN 8GB RAM 1TB HDD & 256GB SSD LAPTOP,https://www.techlandbd.com/acer-extensa-15-ex215-52-56fj-ssd-laptop,"54,490৳"
ACER ASPIRE VERO AV15-51-547X 15.6 INCH FULL HD DISPLAY CORE I5 11TH GEN 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/acer-aspire-vero-av15-51-547x-laptop,"69,000৳"
ACER ASPIRE 5 AN515-57G 15.6 INCH FULL HD DISPLAY CORE I5 12TH GEN 8GB RAM 512GB SSD LAPTOP WITH RTX 2050 4GB GRAPHICS,https://www.techlandbd.com/acer-aspire-5-an515-57g-i5-12th-gen-laptop,"104,900৳"
ACER ASPIRE 5 A515-56G-56X1 15.6-INCH FHD DISPLAY CORE I5 11TH GEN 8 GB RAM 512GB SSD LAPTOP WITH MX 350 2GB GRAPHICS,https://www.techlandbd.com/acer-aspire-5-a515-56g-56x1-core-i5-laptop,"72,990৳"
